abbreviation,meaning
"2day","today"
"2nite","tonight"
"73","best regards"
"88","love and kisses"
"99","get lost"
"aa","all after"
"ab","all before"
"abt","about"
"adr","address"
"ads","address"
"aer","antenna"
"agn","again"
"ans","answer"
"ant","antenna"
"ar","end of message"
"as","wait"
"b4","before, previously"
"bcnu","(will) be seeing you"
"bcus","because"
"bk","break-in signal"
"btr","better"
"bt","break between sections"
"btwn","between"
"bug","semi-automatic key"
"call","call, callsign"
"cfm","confirm"
"ck","check, compare"
"cl","closing station"
"cldy","cloudy"
"clr","clear"
"conds","propagation conditions"
"condx","propagation conditions"
"congrats","congratulations"
"cq","calling all stations"
"crd","card"
"c/s","callsign"
"ct","start of transmission"
"cuagn","see you again"
"cul","see you later"
"de","from, this is"
"dr","dear"
"dx","long-distance contact"
"ere","here"
"es","and"
"ex","former"
"fb","fine, excellent"
"fer","for"
"fist","handwriting"
"fr","for"
"frd","friend"
"frm","from"
"ga","good afternoon"
"gb","goodbye"
"ge","good evening"
"gl","good luck"
"gld","glad, pleased"
"gm","good morning"
"gn","good night"
"go","go ahead"
"guhor","nothing more heard"
"hi","laughter"
"hpe","hope"
"hr","here"
"hrd","heard"
"hw","how"
"ii","group repeat"
"info","information"
"k","come ahead"
"ka","attention, start of message"
"key","key"
"kn","come ahead, named station only"
"lid","poor operator"
"lis","licensed"
"lsn","listen"
"ltr","letter, later"
"mni","many"
"mri","merry, cheerful"
"msg","message"
"nil","nothing"
"nite","night"
"nr","number, near"
"nw","now"
"ob","old boy"
"oc","old chap, old friend"
"om","old man"
"op","operator"
"ot","old-timer"
"ovr","over, end of transmission"
"ovrcst","overcast"
"part","partly"
"pse","please"
"psed","pleased"
"pwr","power"
"qra","name of your station"
"qrb","distance between stations"
"qrg","exact frequency"
"qrh","frequency drifting"
"qri","tone quality"
"qrj","difficulty receiving"
"qrk","readability"
"qrl","are you busy?"
"qrm","interference"
"qrn","static, atmospheric noise"
"qro","increase power"
"qrp","decrease power, low power"
"qrq","send faster"
"qrs","send slower"
"qrt","stop sending"
"qru","have you anything for me?"
"qrv","ready"
"qrw","shall i inform another station?"
"qrx","stand by, wait"
"qry","what is my turn?"
"qrz","who is calling me?"
"qsa","signal strength"
"qsb","fading"
"qsd","bad keying"
"qse","estimated strength"
"qsf","shall i send again?"
"qsg","number of telegrams"
"qsh","shall i send on a higher frequency?"
"qsi","unable to break in"
"qsk","can you hear me between signals?"
"qsl","acknowledgement"
"qsm","shall i repeat?"
"qsn","did you hear me?"
"qso","contact"
"qsp","relay"
"qsq","doctor needed"
"qsr","repeat your call"
"qss","working frequency"
"qst","attention, bulletin"
"qsu","transmit or reply on this frequency"
"qsv","send a series of v's"
"qsw","will you transmit on this frequency?"
"qsy","change frequency"
"qsz","send each word twice"
"qta","cancel message"
"qtb","agree with number of words"
"qtc","message, traffic"
"qte","true bearing"
"qtf","bearing by radio direction finding"
"qth","location"
"qti","true course"
"qtj","speed"
"qtk","speed of aircraft"
"qtl","true heading"
"qtm","magnetic bearing"
"qtn","departure time"
"qto","departed"
"qtp","going to enter harbor"
"qtq","communicate by international code of signals"
"qtr","correct time"
"qts","send your callsign"
"qtt","identification signal"
"qtu","hours of operation"
"qtv","shall i stand guard?"
"qtw","condition of survivors"
"qtx","keep your station open"
"qty","going to position of disaster"
"qtz","continue searching"
"qud","received distress signal"
"que","shall i reply?"
"quf","received distress signal"
"qug","forced landing"
"quh","atmospheric pressure"
"qui","navigation lights"
"quj","bearing to station"
"qum","normal working resumed"
"r","received, roger, right, correct"
"r all","received all"
"r solid","received without gaps"
"rcvd","received"
"rcvr","receiver"
"rig","station equipment"
"rprt","reception report"
"rpt","repeat"
"rst","readability, strength, tone"
"rx","receiver"
"sig","signal"
"sigs","signals"
"sk","end of contact"
"sked","schedule, appointment"
"skip","skip zone"
"sri","sorry"
"sum","some, something"
"swl","shortwave listener"
"tm","traffic manager"
"tmw","tomorrow"
"tks","thanks"
"tnx","thanks"
"to","to, until"
"trcvr","transceiver"
"trx","transceiver"
"tu","thank you"
"tx","transmitter"
"txt","text"
"u","you"
"ur","your"
"vy","very"
"va","end of contact"
"wid","with"
"wkd","worked"
"wl","will"
"wt","watt"
"wtts","watts"
"wud","would"
"wx","weather"
"xcus","excuse me"
"xmas","christmas"
"xmsn","transmission"
"xmtr","transmitter"
"xyl","wife"
"yday","yesterday"
"yl","young lady, female operator"
"yr","your, year"
