"q-groups","mining"
"QRA","What is the name of your station?"
"QRB","At what approximate distance are you from my station?"
"QRD","Where are you bound for and where are you coming from?"
"QRG","Will you tell me my exact frequency?"
"QRH","Does my frequency vary?"
"QRI","How is the tone of my transmission?"
"QRK","What is the readability of my signals?"
"QRL","Are you busy? / I am busy."
"QRM","Are you being interfered with? (Man-made interference)"
"QRN","Are you troubled by static? (Atmospheric noise)"
"QRO","Shall I increase transmitter power?"
"QRP","Shall I decrease transmitter power?"
"QRQ","Shall I send faster?"
"QRS","Shall I send more slowly?"
"QRT","Shall I stop sending?"
"QRU","Have you anything for me?"
"QRV","Are you ready?"
"QRW","Shall I inform another station that you are calling them?"
"QRX","When will you call me again?"
"QRY","What is my turn?"
"QRZ","Who is calling me?"
"QSA","What is the strength of my signals?"
"QSB","Are my signals fading?"
"QSD","Is my keying defective?"
"QSG","Shall I send telegrams at a time?"
"QSK","Can you hear me between your signals? (Full Break-in)"
"QSL","Can you acknowledge receipt? / QSL card"
"QSM","Shall I repeat the last telegram?"
"QSN","Did you hear me on a specific frequency?"
"QSO","Can you communicate with a station directly? / Contact"
"QSP","Will you relay to... free of charge?"
"QSQ","Have you a doctor on board?"
"QST","General call preceding a message addressed to all amateurs."
"QSU","Shall I send or reply on this frequency?"
"QSV","Shall I send a series of V's?"
"QSW","Will you send on this frequency?"
"QSX","Will you listen to a specific station on a frequency?"
"QY","Shall I change to another frequency?"
"QSZ","Shall I send each word several times?"
"QTA","Shall I cancel telegram?"
"QTB","Do you agree with my number of words?"
"QTC","How many telegrams have you to send?"
"QTE","What is my true bearing from you?"
"QTF","Will you give me the position of my station?"
"QTG","Shall I send two dashes of 10 seconds each?"
"QTH","What is your location?"
"QTI","What is your true course?"
"QTJ","What is your speed?"
"QTL","What is your true course?"
"QTM","What is your magnetic course?"
"QTN","What time did you depart?"
"QTO","Have you left dock/port?"
"QTP","Are you entering dock/port?"
"QTQ","Can you communicate with my station by means of the Q-code?"
"QTR","What is the correct time?"
"QTS","Shall I send my call sign?"
"QTT","The identification signal follows."
"QTU","What are the exact hours during which your station is open?"
"QTV","Shall I stand guard for you on a frequency?"
"QTW","What is the condition of survivors?"
"QTX","Will you keep your station open for further communication with me?"
"QUA","Have you news of...?"
"QUB","Can you give me information concerning visibility?"
"QUC","What is the number of the last message?"
"QUD","Have you received the urgency signal?"
"QUE","Can you use telephony?"
"QUF","Have you received the distress signal?"
"QUG","Are you being forced to alight on water?"
"QUH","Will you give me the present barometric pressure at sea level?"
"QUI","Are your navigation lights switched on?"
"QUJ","Will you indicate the true course to steer towards you?"
"QUK","Can you tell me the condition of the sea?"
"QUL","Can you tell me the condition of the swell?"
"QUM","May normal working be resumed?"
"QUN","Request vessels in my vicinity to indicate their position."
"QUO","Shall I search for an aircraft/vessel?"
"QUP","Will you indicate your position with searchlight?"
"QUQ","Shall I train my searchlight on the clouds?"
"QUR","Have survivors received survival equipment?"
"QUS","Have you sighted survivors or wreckage?"
"QUT","Is the position of the accident marked?"
"QUU","Shall I home the aircraft to port?"
"QUW","Are you in the search area?"
"QUY","Is the position of the life-raft indicated?"
